episode,cumulative reward
0,-2.699978474885226
1,-9.30047539651394
2,-9.427800678014757
3,-9.4997936168015
4,-10.0165772177577
5,-9.5277749812603
6,-9.796755864620208
7,-3.246009173154832
8,-1.718420747578127
9,-9.600505053818226
10,-10.198852812230587
11,-10.004486258387566
12,-9.399955733031035
13,-9.993743151426315
14,-9.745166002422572
15,-10.369519569963217
16,-10.499936936736107
17,-10.02700212329626
18,-9.994085358530285
19,-2.686366826057435
20,-2.5532311419248583
21,-9.257080375611782
22,-9.633015267938376
23,-9.720533702880145
24,-2.196513183027472
25,-3.902355174779893
26,-10.302684391111136
27,-10.154101827979089
28,-9.162595947891475
29,-9.362207167685032
30,-9.273731353759764
31,-9.744405152916908
32,-9.923178078085185
33,-9.657749046832324
34,-9.597955795884133
35,-10.08438746201992
36,-10.175630680680277
37,-10.104521271049975
38,-10.10367472577095
39,-10.249026329040529
40,-9.519838261276483
41,-8.994500009208892
42,-9.687151844322685
43,-8.613221791654821
44,-9.849275254309177
45,-10.387882144749163
46,-1.1659725182354037
47,-2.144895630091384
48,1.0076555352807426
49,-2.667024952977896
50,-1.2347166833877432
51,-1.6609087253212609
52,-8.94245443093773
53,11.37022088515759
54,-9.308718802392482
55,0.2378339023292541
56,0.7948920520544349
57,-9.469063002973796
58,-2.353790646255016
59,-1.6709072851240525
60,-1.5373593298196648
61,-3.380236492067576
62,-8.946917272925376
63,-9.399539421230555
64,-2.3787550710737544
65,-9.068001134932041
66,-9.069913367122412
67,-9.234798721581697
68,-9.379702662438154
69,-9.320064378231763
70,-9.39100416007638
71,-9.429685784637927
72,-9.404814595043659
73,-9.357187768101692
74,-9.415968752354384
75,-9.575732478022575
76,-9.46848937433958
77,-9.35082426199317
78,-9.426868651330471
